hour,coal_steam_tph,biomass_steam_tph,gas_steam_tph,waste_heat_steam_tph,solar_used_mw,grid_import_mw,flexible_load_mw,emissions_tco2e,cost_inr,electricity_balance_error_mw,constraint_status,binding_constraints,steam_min,steam_max,coal_min,coal_max,bio_min,bio_max,gas_min,gas_max,waste_min,waste_available,solar_min,solar_available,grid_min,grid_max,flex_min,flex_max,coal_ramp,bio_ramp,gas_ramp,waste_ramp
13,90.0,28.0,10.0,20.0,5.7,10.0,2.5,44.926,260880.0,0.0,PASS,steam_min; coal_max; waste_available; solar_available; flex_max; bio_ramp,0.0,4.439999999999998,65.0,0.0,8.0,37.0,10.0,35.0,20.0,0.0,5.7,0.0,10.0,12.0,2.0,0.0,10.0,0.0,39.0,20.0
14,90.0,20.0,15.0,20.0,5.1,10.4,2.5,45.897999999999996,264040.0,0.0,PASS,steam_min; coal_max; bio_min; bio_max; waste_available; solar_available; flex_max; bio_ramp,0.0,4.349999999999994,65.0,0.0,0.0,0.0,15.0,30.0,20.0,0.0,5.1,0.0,10.4,11.6,2.0,0.0,10.0,0.0,40.0,20.0
15,90.0,20.0,14.0,18.0,4.2,11.0,2.5,46.35,264840.0,0.0,PASS,steam_min; coal_max; bio_min; bio_max; waste_available; solar_available; flex_max,0.0,4.259999999999991,65.0,0.0,0.0,0.0,14.0,31.0,18.0,0.0,4.2,0.0,11.0,11.0,2.0,0.0,10.0,8.0,44.0,18.0
16,90.0,20.0,10.0,18.0,5.0,8.0,0.5,44.61,250600.0,0.0,PASS,steam_min; coal_max; bio_min; bio_max; waste_available; solar_available; flex_min,0.0,4.140000000000015,65.0,0.0,0.0,0.0,10.0,35.0,18.0,0.0,5.0,0.0,8.0,14.0,0.0,2.0,10.0,8.0,41.0,20.0
17,90.0,20.0,8.0,16.0,3.0,9.7,0.5,45.904,257720.0,0.0,PASS,steam_min; coal_max; bio_min; bio_max; waste_available; solar_available; flex_min,0.0,4.02000000000001,65.0,0.0,0.0,0.0,8.0,37.0,16.0,0.0,3.0,0.0,9.7,12.3,0.0,2.0,10.0,8.0,43.0,18.0
18,86.0,28.0,0.0,14.0,1.0,10.8,0.0,44.694,250920.0,0.0,PASS,steam_min; gas_min; waste_available; solar_available; flex_min; bio_ramp,0.0,3.8400000000000034,61.0,4.0,8.0,37.0,0.0,45.0,14.0,0.0,1.0,0.0,10.8,11.2,0.0,2.5,6.0,0.0,37.0,18.0
19,76.0,32.0,0.0,12.0,0.0,11.5,0.0,41.98199999999999,258100.0,0.0,PASS,steam_min; gas_min; waste_available; solar_min; solar_available; flex_min; coal_ramp,0.0,3.6000000000000085,51.0,14.0,12.0,33.0,0.0,45.0,12.0,0.0,0.0,0.0,11.5,10.5,0.0,2.5,0.0,4.0,45.0,18.0
20,70.0,32.0,0.0,10.0,0.0,10.8,0.0,39.33,243180.0,0.0,PASS,steam_min; gas_min; waste_available; solar_min; solar_available; flex_min,0.0,3.3599999999999994,45.0,20.0,12.0,33.0,0.0,45.0,10.0,0.0,0.0,0.0,10.8,11.2,0.0,2.5,4.0,8.0,45.0,18.0
21,64.0,32.0,0.0,10.0,0.0,10.0,0.0,36.336,227440.0,0.0,PASS,steam_min; gas_min; waste_available; solar_min; solar_available; flex_min,0.0,3.180000000000007,39.0,26.0,12.0,33.0,0.0,45.0,10.0,0.0,0.0,0.0,10.0,12.0,0.0,2.5,4.0,8.0,45.0,20.0
22,60.0,32.0,0.0,8.0,0.0,9.4,0.0,33.952,216400.0,0.0,PASS,steam_min; gas_min; waste_available; solar_min; solar_available; flex_min,0.0,3.0,35.0,30.0,12.0,33.0,0.0,45.0,8.0,0.0,0.0,0.0,9.4,12.6,0.0,2.5,6.0,8.0,45.0,18.0
23,56.0,32.0,0.0,8.0,0.0,8.9,0.0,31.672,186600.0,0.0,PASS,steam_min; gas_min; waste_available; solar_min; solar_available; flex_min; flex_max,0.0,2.8799999999999955,31.0,34.0,12.0,33.0,0.0,45.0,8.0,0.0,0.0,0.0,8.9,13.1,0.0,0.0,6.0,8.0,45.0,20.0
